QueryID,DocID,Score
Q0,CACM-2714,43.0344976934433
Q0,CACM-3134,41.815708305733224
Q0,CACM-1699,41.814777629251026
Q0,CACM-1665,39.1063038499307
Q0,CACM-1811,38.9113179168728
Q1,CACM-2714,43.459215211184855
Q1,CACM-1665,37.527158763771794
Q1,CACM-1811,36.38653549786266
Q1,CACM-3006,36.22673587173475
Q1,CACM-3075,32.01572978045266
Q2,CACM-2721,61.25650478388174
Q2,CACM-1366,41.64850053876581
Q2,CACM-1928,40.51045861117835
Q2,CACM-2749,30.042905386495246
Q2,CACM-2767,27.393604689465224
Q3,CACM-2981,69.17003282294442
Q3,CACM-1922,67.046983900803
Q3,CACM-2986,49.84326914808096
Q3,CACM-2031,45.81030061032133
Q3,CACM-2210,40.21186263847197
Q4,CACM-2470,110.09174790785845
Q4,CACM-3077,102.8489128059971
Q4,CACM-2178,91.19792560158952
Q4,CACM-2940,89.34195729784523
Q4,CACM-2931,88.38375946486799
